Turn 9: first=40.20687498268671 ms; landing=329.20304164872505 ms; target=120 Hz; OS presentation gaps=[0.01667337500839494, 0.01667337500839494, 0.01667345833266154, 0.01667337497929111, 0.016673541686031967, 0.01667337497929111, 0.01667337500839494, 0.01667345833266154, 0.016673333331709728, 0.012504874990554526, 0.008336750004673377, 0.008336666680406779, 0.008337000006577, 0.008336291648447514, 0.008336750004673377, 0.008336750004673377, 0.008336666651302949, 0.008336666680406779, 0.00833679165225476, 0.008336541679454967, 0.008336750004673377, 0.008336666651302949, 0.008336750004673377, 0.008336625003721565, 0.00833679168135859]; callback delays=[0.00046812501386739314, 0.000620041653746739, 0.0006092916592024267, 0.0005249583336990327, 0.0005868333391845226, 0.0005276666488498449, 0.0005645416676998138, 0.0005198333237785846, 0.0006348750030156225, 0.0006171250133775175, 0.004860000015469268, 0.0051535833335947245, 0.00434645832865499, 0.005229333328315988, 0.004349124996224418, 0.005207541660638526, 0.004014749982161447, 0.003718375024618581, 0.0038659999845549464, 0.0051267916860524565, 0.0036610416718758643, 0.00381970833404921, 0.0036158750008326024, 0.003650958329671994, 0.0005055416550021619, 0.0004504583193920553] s; unpresented progress=[0.9649042530451821]

Command execution=19.08662499045022 ms
start=163.00858336035162ms; CPU=2.570624987129122ms; GPU queue=0.1749999646563083ms; GPU=2.699125005165115ms; target=179.46658335858956ms
start=171.60741667612456ms; CPU=2.430458349408582ms; GPU queue=0.13558327918872237ms; GPU=2.591750002466142ms; target=187.8032500098925ms
start=179.93079166626558ms; CPU=2.365291671594605ms; GPU queue=0.13524998212233186ms; GPU=2.440125012071803ms; target=196.1399166902993ms
start=188.1884166796226ms; CPU=2.4198333267122507ms; GPU queue=0.1333749678451568ms; GPU=2.2315833484753966ms; target=204.47658334160224ms
start=196.5675000101328ms; CPU=1.8630416598170996ms; GPU queue=0.14895832282491028ms; GPU=2.1522083261515945ms; target=212.81325002200902ms
start=204.90383333526552ms; CPU=1.6225000144913793ms; GPU queue=0.19841664470732212ms; GPU=2.0307499798946083ms; target=221.14991667331196ms
start=213.27058333554305ms; CPU=1.965125004062429ms; GPU queue=0.13429165119305253ms; GPU=1.7968333268072456ms; target=229.48658335371874ms
start=221.5450000076089ms; CPU=1.430916687240824ms; GPU queue=0.12108328519389033ms; GPU=1.8193333235103637ms; target=237.8232500050217ms
start=229.99379166867584ms; CPU=1.0485000093467534ms; GPU queue=0.5237916484475136ms; GPU=2.0117499807383865ms; target=246.15991668542847ms
start=238.35320834768936ms; CPU=1.4870416780468076ms; GPU queue=0.6143749633338302ms; GPU=1.7374999879393727ms; target=254.49658333673142ms
start=246.56645834329538ms; CPU=1.1931666813325137ms; GPU queue=0.47733329120092094ms; GPU=1.6691249911673367ms; target=262.8332500171382ms
start=255.04845834802836ms; CPU=0.7569583249278367ms; GPU queue=0.33691665157675743ms; GPU=1.9195000058971345ms; target=271.16991666844115ms
start=263.31300000310875ms; CPU=0.6599583430215716ms; GPU queue=0.3361666458658874ms; GPU=1.8273333262186497ms; target=279.5065833488479ms
start=271.660124999471ms; CPU=0.7028333493508399ms; GPU queue=0.3299999807495624ms; GPU=1.755541656166315ms; target=287.8432500001509ms
start=279.9591666844208ms; CPU=1.1925416765734553ms; GPU queue=0.5802916130051017ms; GPU=1.7265000205952674ms; target=296.17991668055765ms
start=288.37304169428535ms; CPU=0.6032083183526993ms; GPU queue=0.3572083078324795ms; GPU=1.9697500101756305ms; target=304.5165833318606ms
